Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
68,LPD 68,434.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
69,LPD 69,434.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
70,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
71,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
72,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
73,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
74,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
75,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
76,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
77,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
78,PMR 9,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
79,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
80,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
81,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
82,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
83,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
84,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
85,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
